intervention,phase,sum,median,std,count,mean,iqr
False,1,402,5.0,1.4353403847875315,100,4.02,2.0
False,2,178,4.5,1.5839397868059724,48,3.7083333333333335,3.0
False,3,347,4.0,1.477857765105682,97,3.577319587628866,3.0
True,2,210,5.0,1.142857142857143,50,4.2,1.75
