criteria,W,p_value
score_criteria1,0.7614470637438492,1.9001669877617236e-11
score_criteria2,0.7544835727389922,1.232048750742159e-11
score_criteria3,0.8012722912816084,2.7095359659044024e-10
score_criteria4,0.8091993999930168,4.792872275679201e-10
score_criteria5,0.7410376315643621,5.4620319086218746e-12
score_criteria6,0.7373209688700775,4.38458639394512e-12
score_criteria7,0.7437740825692629,6.430065539290195e-12
compound_score,0.8064883414186172,3.93672441489582e-10
