criteria,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value
score_criteria1,0.0881189846467425,0.6753224369054459,0.15615158954341557,0.4560440219157531
score_criteria2,-0.04009596555237031,0.8490802291679352,0.014868829690660543,0.9437625411499992
score_criteria3,-0.23332397728533733,0.2616612245301132,-0.15430065511659288,0.4614671979566667
score_criteria4,0.07667574719776431,0.7156428209727779,0.10279175793165148,0.6248809164128679
score_criteria5,0.08941580716713295,0.6708050153230654,0.12715989752750181,0.5447033376212889
score_criteria6,0.10764506708053909,0.6085372391052775,0.09146532333826544,0.6636882568385396
score_criteria7,0.14184408272449828,0.49882269273327623,0.1838571309415202,0.3789917339419442
compound_score,0.0356764855966523,0.8655580094027133,0.11748766945206598,0.5759523960573074
