intervention,phase,sum,median,std,count,mean,iqr
False,1,304,3.0,1.309792180292567,100,3.04,2.0
False,2,149,4.0,1.2921956134990165,48,3.1041666666666665,2.0
False,3,319,4.0,1.2579643185735132,97,3.288659793814433,2.0
True,2,187,4.0,1.1214058232451636,50,3.74,2.0
