intervention,phase,sum,median,std,count,mean,iqr
False,1,1521,13.0,7.799630915898676,100,15.21,11.25
False,2,808,14.5,8.615031950620036,50,16.16,15.75
False,3,1549,14.0,7.409378441467873,100,15.49,10.25
True,2,939,16.0,8.464306811305837,50,18.78,8.75
