criteria,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value
score_criteria1,0.26728818040177454,0.1964705218058456,0.3116096167695632,0.1294370699835387
score_criteria2,0.04361866021585113,0.835989650046504,0.1032772391785766,0.6232381037939374
score_criteria3,0.11122180404646813,0.5966075735895469,0.14659742112913404,0.4843939041082014
score_criteria4,0.17977030805190433,0.3898605240081769,0.2609724390427987,0.20765820363901902
score_criteria5,0.12924884840902967,0.538059212059771,0.18433764628701202,0.37772535861496603
score_criteria6,-0.010889509331941848,0.9587985065161077,0.028598103613469962,0.89206058360539
score_criteria7,0.14184408272449828,0.49882269273327623,0.18306045920792793,0.3810966863797447
compound_score,0.22836455559058785,0.27222451388105706,0.2740693576562664,0.18492474787867802
