criteria,agreement_percentage,cohens_kappa
score_criteria1,48.333333333333336,0.43316185971670285
score_criteria2,41.333333333333336,0.3582185703346258
score_criteria3,41.0,0.35214670034039763
score_criteria4,44.0,0.3801271723221862
score_criteria5,38.333333333333336,0.2794640770648872
score_criteria6,29.666666666666668,0.17855149950038285
score_criteria7,36.666666666666664,0.2437309274247047
compound_score,56.99999999999999,0.5485353647297628
