criteria,W,p_value
score_criteria1,0.8549875641072371,1.8206835263280097e-08
score_criteria2,0.8066473055684074,3.9822113790474443e-10
score_criteria3,0.8543609662837798,1.7243530662167187e-08
score_criteria4,0.8626592086158305,3.585372302531029e-08
score_criteria5,0.7211652133583619,1.7282727681016999e-12
score_criteria6,0.8112158975201789,5.55493426721262e-10
score_criteria7,0.7576801242586733,1.5015742999211518e-11
compound_score,0.917260809191869,1.0101726388835944e-05
