criteria,W,p_value
score_criteria1,0.8923282925108377,9.764159985894478e-11
score_criteria2,0.8685795466463802,4.4465834378194216e-12
score_criteria3,0.8735057383782827,8.16795754867623e-12
score_criteria4,0.8932918421479908,1.1169576870266809e-10
score_criteria5,0.8515722219580824,6.0937220063735e-13
score_criteria6,0.8725754190243888,7.273041911145291e-12
score_criteria7,0.8549655989163921,8.94306803067022e-13
compound_score,0.9525931975228229,3.7579872672061855e-06
