criteria,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value
score_criteria1,0.46983504987331004,0.0005764435359878507,0.48474930476094175,0.0003604450747063614
score_criteria2,0.3314879099643215,0.018692584545682924,0.37591021686784437,0.007138515436756121
score_criteria3,0.25558021729623387,0.07322947279075898,0.27409742579752255,0.05407838196809158
score_criteria4,0.4267220068737725,0.0019995494629897912,0.4608577365160115,0.000757033944236366
score_criteria5,0.2538305327957884,0.07528663447093434,0.30263483719582446,0.03266314867943941
score_criteria6,0.3491135772735856,0.012958753055304847,0.36870878237515875,0.008419570884285034
score_criteria7,0.46786012589786613,0.0006124518036410612,0.46066987496049,0.0007613036210714296
compound_score,0.514286136909649,0.0001331737201301272,0.491857435247505,0.00028598011464780126
