criteria,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value
score_criteria1,0.7425767308490278,2.1309192223318736e-05,0.7253042738757084,4.093189872709678e-05
score_criteria2,0.6314705201161026,0.0007109118844035828,0.6461009646144935,0.00048495984210134756
score_criteria3,0.40790118737191045,0.04296000826907769,0.39630806460989476,0.04984980736954838
score_criteria4,0.7051561380739454,8.269860103444068e-05,0.6776604834388973,0.000197897981568753
score_criteria5,0.4238246776738757,0.034745206851396454,0.4307652552185503,0.0315813062602717
score_criteria6,0.8215460822501353,4.800769265302781e-07,0.7872326057716981,3.0278028199079916e-06
score_criteria7,0.771400359402985,6.3522433872565534e-06,0.7553434046458711,1.2720530920816585e-05
compound_score,0.8145908498214632,7.185368469597224e-07,0.733151686941882,3.061314107416311e-05
