criteria,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value
score_criteria1,0.7244616763479587,4.220430562691778e-05,0.7142275681519723,6.069111518699739e-05
score_criteria2,0.7211159538137127,4.7608118573297484e-05,0.7222141950440126,4.577063551660902e-05
score_criteria3,0.45136439034165654,0.02352522840840687,0.44064828814763995,0.02747809003937436
score_criteria4,0.5733056136418363,0.002736618408343623,0.5379752825725735,0.005539475347273855
score_criteria5,0.5871002846252512,0.00203332588007955,0.4960696167238282,0.01166828142153163
score_criteria6,0.7458651596975556,1.8710951814582888e-05,0.6516529261500825,0.00041725958842288557
score_criteria7,0.6802833856848612,0.0001828111325675834,0.6479843896258903,0.00046099654178346735
compound_score,0.7723723787324598,6.080005629091222e-06,0.6821434253314823,0.00017273171662139249
