criteria,rank_biserial_correlation
score_criteria1,0.33125000000000004
score_criteria2,0.1725
score_criteria3,0.0675
score_criteria4,0.4404166666666667
score_criteria5,0.16208333333333336
score_criteria6,0.20666666666666667
score_criteria7,0.15333333333333332
compound_score,0.30166666666666664
