criteria,W,p_value
score_criteria1,0.7980827657868292,2.837282145563069e-15
score_criteria2,0.7633091458375278,1.4623569630099571e-16
score_criteria3,0.7652694694375173,1.7134737370795028e-16
score_criteria4,0.8254360573657651,3.8245050401916657e-14
score_criteria5,0.7707045485710098,2.6724017854445366e-16
score_criteria6,0.7486963115282668,4.620267145979933e-17
score_criteria7,0.7577989706015635,9.414411526681979e-17
compound_score,0.8275953814821676,4.752773493532096e-14
