criteria,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value
score_criteria1,0.3725773437717881,0.0077086402371356185,0.37448722327603445,0.007377287508442347
score_criteria2,0.32174557835432804,0.022696795934915977,0.3520213724829582,0.012175212357123126
score_criteria3,0.10990859405880944,0.44736188735847876,0.13254504221498653,0.3588351306085711
score_criteria4,0.2993518503750942,0.03469549766394939,0.3197169673264639,0.02361555789530607
score_criteria5,0.3017444857125825,0.033204314853723084,0.30052564830554424,0.03395716543647716
score_criteria6,0.3799849266424663,0.0064915659243623474,0.3489366722524247,0.013007784795291496
score_criteria7,0.38328752836253616,0.006005279179390397,0.40546019362550995,0.0034877402983635986
compound_score,0.36468039571721395,0.009219531490712897,0.36244655788971647,0.009690810699233127
