intervention,phase,sum,median,std,count,mean,iqr
False,1,4612,27.0,10.343662638732935,200,23.06,21.0
False,2,2308,29.5,10.991207778609635,98,23.551020408163264,22.75
False,3,4482,25.0,9.940335318211105,197,22.751269035532996,19.0
True,2,2548,29.0,9.35439182762014,100,25.48,17.0
